Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
31190,31170,31290,31250,30,0.1%,2014/08/10,1393/05/19
31290,31200,31300,31220,100,0.32%,2014/08/09,1393/05/18
31310,31310,31350,31320,-,-,2014/08/07,1393/05/16
31350,31320,31370,31320,80,0.26%,2014/08/06,1393/05/15
31380,31340,31410,31400,-,-,2014/08/05,1393/05/14
31410,31370,31450,31400,20,0.06%,2014/08/04,1393/05/13
31390,31380,31490,31420,20,0.06%,2014/08/03,1393/05/12
31330,31290,31400,31400,169,0.54%,2014/08/02,1393/05/11
31202,30874,31546,31231,29,0.09%,2014/07/30,1393/05/08
31310,31260,31310,31260,30,0.1%,2014/07/28,1393/05/06
31350,31250,31370,31290,80,0.26%,2014/07/27,1393/05/05
31380,31320,31410,31370,10,0.03%,2014/07/26,1393/05/04
31370,31360,31390,31380,10,0.03%,2014/07/24,1393/05/02
31340,31320,31410,31390,60,0.19%,2014/07/23,1393/05/01
31280,31240,31360,31330,-,-,2014/07/22,1393/04/31
31320,31270,31350,31330,-,-,2014/07/21,1393/04/30
31280,31270,31370,31330,230,0.73%,2014/07/20,1393/04/29
31440,31430,31640,31560,130,0.41%,2014/07/17,1393/04/26
31390,31330,31430,31430,70,0.22%,2014/07/16,1393/04/25
31180,31170,31470,31360,190,0.61%,2014/07/15,1393/04/24
31200,31110,31230,31170,60,0.19%,2014/07/14,1393/04/23
31350,31220,31350,31230,130,0.42%,2014/07/13,1393/04/22
31200,31170,31420,31360,300,0.97%,2014/07/12,1393/04/21
31000,31000,31110,31060,40,0.13%,2014/07/10,1393/04/19
31100,31000,31140,31020,30,0.1%,2014/07/09,1393/04/18
31190,30990,31270,31050,130,0.42%,2014/07/08,1393/04/17
31300,31140,31500,31180,80,0.26%,2014/07/07,1393/04/16
30990,30980,31310,31260,310,1%,2014/07/06,1393/04/15
30920,30770,31010,30950,310,1%,2014/07/05,1393/04/14
31240,31200,31340,31260,10,0.03%,2014/07/03,1393/04/12
31360,31260,31480,31270,60,0.19%,2014/07/02,1393/04/11
31190,31110,31500,31330,150,0.48%,2014/07/01,1393/04/10
31160,30920,31230,31180,40,0.13%,2014/06/30,1393/04/09
31160,30900,31160,31140,40,0.13%,2014/06/29,1393/04/08
31380,31080,31380,31180,510,1.64%,2014/06/28,1393/04/07
31670,31670,31700,31690,40,0.13%,2014/06/26,1393/04/05
31650,31620,31720,31650,20,0.06%,2014/06/25,1393/04/04
31650,31600,31730,31670,-,-,2014/06/24,1393/04/03
31740,31600,31770,31670,50,0.16%,2014/06/23,1393/04/02
31880,31690,31920,31720,200,0.63%,2014/06/22,1393/04/01
32050,31790,32050,31920,370,1.16%,2014/06/21,1393/03/31
32100,32010,32290,32290,180,0.56%,2014/06/19,1393/03/29
31980,31800,32190,32110,180,0.56%,2014/06/18,1393/03/28
32000,31900,32170,31930,110,0.34%,2014/06/17,1393/03/27
31780,31770,32110,32040,250,0.79%,2014/06/16,1393/03/26
32050,31790,32120,31790,330,1.04%,2014/06/15,1393/03/25
32160,32120,32230,32120,310,0.97%,2014/06/14,1393/03/24
32440,32410,32440,32430,20,0.06%,2014/06/12,1393/03/22
32420,32410,32460,32450,50,0.15%,2014/06/11,1393/03/21
32410,32340,32500,32400,-,-,2014/06/10,1393/03/20
32290,32060,32400,32400,80,0.25%,2014/06/09,1393/03/19
32430,32290,32460,32320,130,0.4%,2014/06/08,1393/03/18
32600,32350,32600,32450,380,1.17%,2014/06/07,1393/03/17
32820,32810,32830,32830,30,0.09%,2014/06/03,1393/03/13
32810,32790,32840,32800,20,0.06%,2014/06/02,1393/03/12
32800,32790,32850,32820,10,0.03%,2014/06/01,1393/03/11
32770,32760,32830,32810,40,0.12%,2014/05/31,1393/03/10
32790,32740,32800,32770,10,0.03%,2014/05/29,1393/03/08
32660,32620,32780,32780,10,0.03%,2014/05/28,1393/03/07
32820,32750,32830,32770,60,0.18%,2014/05/26,1393/03/05
32850,32800,32890,32830,10,0.03%,2014/05/25,1393/03/04
32760,32700,32860,32820,10,0.03%,2014/05/24,1393/03/03
32880,32830,32920,32830,40,0.12%,2014/05/22,1393/03/01
32880,32840,32920,32870,30,0.09%,2014/05/21,1393/02/31
32920,32860,33080,32900,40,0.12%,2014/05/20,1393/02/30
32810,32730,32950,32940,120,0.37%,2014/05/19,1393/02/29
32740,32720,32850,32820,60,0.18%,2014/05/18,1393/02/28
33000,32680,33020,32760,170,0.52%,2014/05/17,1393/02/27
32470,32470,33020,32930,480,1.48%,2014/05/15,1393/02/25
32390,32350,32450,32450,30,0.09%,2014/05/14,1393/02/24
32470,32450,32500,32480,10,0.03%,2014/05/12,1393/02/22
32400,32270,32610,32490,130,0.4%,2014/05/11,1393/02/21
32570,32320,32680,32360,510,1.58%,2014/05/10,1393/02/20
32910,32860,32910,32870,30,0.09%,2014/05/08,1393/02/18
32800,32790,32930,32900,10,0.03%,2014/05/07,1393/02/17
33030,32840,33050,32910,130,0.4%,2014/05/06,1393/02/16
33150,32930,33300,33040,100,0.3%,2014/05/05,1393/02/15
32820,32720,33160,33140,360,1.1%,2014/05/04,1393/02/14
33100,32780,33160,32780,350,1.07%,2014/05/03,1393/02/13
33120,33100,33150,33130,30,0.09%,2014/05/01,1393/02/11
32950,32900,33100,33100,120,0.36%,2014/04/30,1393/02/10
32940,32840,33010,32980,30,0.09%,2014/04/29,1393/02/09
